,park_name,public_house
994,Fulton Park,
995,Greeley Square Park,
996,Flynn Playground,
997,Detective William T. Gunn Park,
998,Spuyten Duyvil Playground,
999,Sarsfield Playground - Father Kehoe Triangle,
1000,Bushman Steps,1.0
1001,Crack Is Wack Playground,2.0
1002,Straus Park,
1003,P.s. 56 - Staten Island,
1004,Sugar Hill Garden,
1005,El Flamboyan Garden,1.0
1006,Children's Garden,
1007,6th St and Ave B Community Garden,
1008,Lefferts Playground,
1009,Hallets Cove Playground,1.0
1010,Concerned Citizens of Grove Street,1.0
1011,Murray Playground,
1012,Long Island Mews,
1013,I.S. 394,2.0
1014,I.S. 392,5.0
1015,Stroud Playground,
