PERIOD,PARK,BOROUGH,SIZE (ACRES),CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
2014-q3,east river waterfront esplanade,MANHATTAN    ,8.761,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,crotona parkway malls,BRONX        ,8.75,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
2014-q3,coney island creek park,BROOKLYN     ,8.663,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,mill rock park,MANHATTAN    ,8.639,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,east river esplanade e 90th st to e 125th st,MANHATTAN    ,8.595,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,john j carty park,BROOKLYN     ,8.565,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,coffey park,BROOKLYN     ,8.271,ONE ACRE OR LARGER,0,0,0,1,0,0,0,1
2014-q3,barrett park,STATEN ISLAND,8.108,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,rainey park queens,QUEENS       ,8.09,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,laguardia landing lights,QUEENS       ,8.03,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,city island wetlands,BRONX        ,8.005,ONE ACRE OR LARGER,0,0,0,1,0,0,0,1
2014-q3,sara d. roosevelt park,MANHATTAN    ,7.85,ONE ACRE OR LARGER,0,0,1,0,0,4,0,5
2014-q3,ewen park,BRONX        ,7.84,ONE ACRE OR LARGER,0,0,2,0,0,0,0,2
2014-q3,herbert von king park,BROOKLYN     ,7.819,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
2014-q3,mount prospect park,BROOKLYN     ,7.79,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,rainey park bronx,BRONX        ,7.738,ONE ACRE OR LARGER,0,0,1,1,0,1,0,3
2014-q3,detective keith l williams park,QUEENS       ,7.683,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
2014-q3,flushing fields,QUEENS       ,7.671,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
