,park_name,census_tract,ct,household,median_income
1234,Downing Street Playground,"1400000US36061006700,",['1400000US36061006700'],3258,88492.0
1235,P.S. 51,"1400000US36081012200,",['1400000US36081012200'],893,67524.0
1236,Sylvan Grove Cemetery,"1400000US36085029102,",['1400000US36085029102'],980,84559.0
1237,Edith Garden,"1400000US36005014100,",['1400000US36005014100'],1928,32500.0
1238,Mill Rock Park,"1400000US36061015200,",['1400000US36061015200'],3724,82308.0
1239,Jamaica Playground,"1400000US36081026000,",['1400000US36081026000'],722,37857.0
1240,Garrison Playground,"1400000US36005006300,",['1400000US36005006300'],1834,32064.0
1241,Captain Jacob Joseph Playground,"1400000US36061000600,",['1400000US36061000600'],4232,19863.0
1242,Playground of the Americas,"1400000US36061003700,",['1400000US36061003700'],1361,129904.0
1243,Captain Dermody Triangle,"1400000US36081144100,",['1400000US36081144100'],1202,87000.0
1244,University Place,"1400000US36047003100,",['1400000US36047003100'],1019,69609.0
1245,Bayside Fields,"1400000US36081108500,",['1400000US36081108500'],951,66467.0
1246,Rev J Polite Playground,"1400000US36005013100,",['1400000US36005013100'],1561,25271.0
1247,Rodney Playground Center,"1400000US36047051300,",['1400000US36047051300'],1989,66951.0
1248,Jacob's Ladder Playground,"1400000US36047054500,",['1400000US36047054500'],2321,16638.0
1249,Putt-Putt Golf Course,"1400000US36081038302,",['1400000US36081038302'],0,
1250,Sheep Meadow,"1400000US36061014300,",['1400000US36061014300'],0,
1251,De Colores Community Yard and Cultural Center,"1400000US36061002602,",['1400000US36061002602'],2136,70037.0
1252,Playground Eighty LXXX,"1400000US36081157902,",['1400000US36081157902'],1089,95592.0
1253,Ten Eyck Playground,"1400000US36047048500,",['1400000US36047048500'],963,85924.0
1254,Morgan Playground,"1400000US36005014500,",['1400000US36005014500'],2243,22711.0
1255,Calvert Vaux Park,"1400000US36047031400,1400000US36047034800,","['1400000US36047031400', '1400000US36047034800']",2609,43416.0
1256,P.S. 279 Playground,"1400000US36047098600,",['1400000US36047098600'],1053,69375.0
1257,Shorehaven,"1400000US36005000400,1400000US36005000200,","['1400000US36005000400', '1400000US36005000200']",3300,73435.0
1258,Sunshine Playground,"1400000US36061016600,",['1400000US36061016600'],2854,35306.0
1259,Dekovats Park,"1400000US36061015200,",['1400000US36061015200'],3724,82308.0
