,park_name,census_tract
463,Lefferts Pl Block Association,[u'1400000US36047022700']
464,Betsy Head,[u'1400000US36047089800']
465,Concrete Plant Park,[u'1400000US36005012300']
466,Recreational Area,"[u'1400000US36061023300', u'1400000US36061023700']"
467,Peachtree Garden,[u'1400000US36061002202']
468,Bayswater Park,"[u'1400000US36081100802', u'1400000US36081099200']"
469,Playground One,[u'1400000US36061002700']
470,Hull Triangle,[u'1400000US36081051700']
471,Heisser Triangle,[u'1400000US36047043100']
472,Sledge Playground,[u'1400000US36047099000']
473,Oakland Gardens,[u'1400000US36081138501']
474,P.S. 87,[u'1400000US36005042800']
475,Playground 115,[u'1400000US36081092900']
476,Glendale Veterans Triangle,[u'1400000US36081062900']
477,Maple Playground,[u'1400000US36081085300']
478,South Rochdale Playground,[u'1400000US36081033402']
479,P.S. 128,[u'1400000US36081065900']
